title,href,img,loc,price,etc,lat,lng,addr
제주 그림카페|항공우주박물관4층|제주카페,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111496952,https://www.jejumobile.kr/datas/3c151e3b2de2e86ff72a67641446ffde.jpg,서귀포시 서부,"8,900",,0.0,0.0,
해비치호텔앤드리조트 하노루,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111445642,https://www.jejumobile.kr/datas/fbcd50fb9d8ee2e28ee1fd17a1f88a12.jpg,서귀포시 동부,"167,400",예약필수,33.3231785,126.8445353,대한민국 제주특별자치도 서귀포시 표선면 표선리 40-69
망고레이 섭지코지점 |성산카페|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111179338,https://www.jejumobile.kr/datas/19a9b68580a126c00492ea34257e861a.JPG,서귀포시 동부,"5,900",,33.4948,126.4392698,"대한민국 제주특별자치도 제주시 특별자치도, 내도3길 11 KR"
쉬멍해장국 제주본점 |제주맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111355994,https://www.jejumobile.kr/datas/9a2a7b2b486797746d4dab9424a27f01.jpg,제주시,"8,000",,33.488909,126.533009,대한민국 제주시
진질해녀식당|제주한림맛집,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111743494,https://www.jejumobile.kr/datas/3ae2c05597f8733f9c2ed50a5321ec6a.jpg,"제주시,제주시 서부","28,500",,33.4423323,126.2789018,대한민국 제주시 한림읍 귀덕리 4107-2번지 1층 어촌계회관 제주시 제주특별자치도 KR
망고홀릭 성산점 |서귀포카페|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111599005,https://www.jejumobile.kr/datas/970af9da4aa46aaa1ce851e8aac1ecbd.jpg,서귀포시 동부,"9,000",,0.0,0.0,
카페 낭뜰,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111614125,https://www.jejumobile.kr/datas/cedac16b678649f3b7806df35cbf209d.jpg,"제주시,제주시 서부","8,500",예약필수,0.0,0.0,
제주실탄사격장_중문랜드,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111177658,https://www.jejumobile.kr/datas/e5be96111d7f9242fd6c284170b8f46d.jpg,서귀포시,"8,000",,33.2639753,126.3852041,대한민국 서귀포시 상예동 2802번지 2층 서귀포시 제주특별자치도 KR
치르메스치킨 노형점|치킨맛집|노형치킨,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111744985,https://www.jejumobile.kr/datas/f62d78a03de8ec3a5aa2ad50a9ddea13.jpg,제주시,"15,000",예약필수,33.48309800000001,126.4772312,대한민국 제주특별자치도 제주시 노형동
마라도 환상의짜장 |서귀포맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111274969,https://www.jejumobile.kr/datas/6f802296d6c1bed4efccb36df16613b6.jpg,서귀포시 서부,"7,000",,0.0,0.0,
레아 드레스앤카페 카페이용권|스튜디오카페|아메리카노,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111550082,https://www.jejumobile.kr/datas/5f4b1bc0d9f09b40f256cec4e20c176b.jpg,제주시,"9,000",,0.0,0.0,
디저트팩토리 쇠소깍점 |제주카페|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111351817,https://www.jejumobile.kr/datas/fcc92e9c586f49e6934491a57438a234.jpg,서귀포시,"4,500",,33.2567865,126.6214412,대한민국 제주특별자치도 서귀포시 하효동 951-1
신흥바다낚시공원,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111408469,https://www.jejumobile.kr/datas/b3b75d3ea277b45402c0a0223fc23b8e.jpg,제주시 동부,"18,000",,33.5511998,126.6470248,대한민국 제주특별자치도 제주시 조천읍 조함해안로 247-2
곱은달 한라봉 청만들기 체험,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111759947,https://www.jejumobile.kr/datas/c363dfb3a9d711102dcafacc9c7735cb.jpg,서귀포시 동부,"15,000",,33.2797717,126.6222396,대한민국 제주특별자치도 서귀포시 남원읍 하례리 979
